Name,Sex,Year of Birth,Country of Birth,Religion,City,Profession
Eugenio Ewell,M,1968,USA,Christian,New Orleans,Nurse
Ivo Izidro,M,1964,Mexico,Christian,Acapulco,Nurse
Lindsey Lever,M,1965,USA,Christian,New Orleans,Nurse
Desiree Dardar,F,,USA,Christian,New Orleans,Nurse
Mariann Mulero,F,1973,USA,Christian,New Orleans,Nurse
Kathey Kleiman,F,1973,USA,Christian,New Orleans,Nurse
Rupert Rollison,M,1986,England,Christian,Birmingham,Nurse
Signe Seymore,F,1979,England,Christian,Birmingham,Nurse
Lora Lemoine,F,,England,Christian,Birmingham,Nurse
Leanne Lowy,F,1969,England,Christian,Birmingham,Nurse
Eleanore Espitia,F,1981,Spain,Christian,Valencia,Nurse
Mayra Mcnish,F,1987,Scotland,Christian,Edinburgh,Nurse
Kraig Kriner,M,1972,Scotland,Christian,Edinburgh,Nurse
Carlos Cobre,M,1983,Brazil,---,São Paulo,Nurse
Valeri Vanegas,F,1966,Spain,Christian,Valencia,Nurse
Vinicius Vitorio,M,1962,Brazil,Christian,São Paulo,Nurse
Magali Mattos,F,1976,Brazil,Christian,São Paulo,Nurse
Kathy Kerrigan,F,1973,USA,Christian,New Orleans,Nurse
Ricardo Rima,M,1977,Peru,Christian,Arequipa,Nurse
Apolonia Abler,F,1967,Canada,Christian,Vancouver,Nurse
Willene Wolfgram,F,,USA,,New Orleans,Nurse
Marcos Magro,M,,Brazil,Christian,São Paulo,Nurse
Ariel Almada,F,1965,Portugal,Christian,Lisbon,Nurse
Elias Elmo,M,1970,Portugal,Christian,Lisbon,X
Herta Hatley,F,,USA,Christian,New Orleans,Nurse
Jada Judon,M,1974,Australia,Christian,Brisbane,Nurse
Joelle Jaffee,F,1983,Peru,Christian,Arequipa,Nurse
Lillian Labree,F,1982,Spain,Christian,Valencia,Nurse
Oleta Ouk,F,1991,Spain,Christian,Valencia,Nurse
Douglas Damario,M,1965,USA,Christian,New Orleans,Nurse
Amelia Caldwell,F,1977,Scotland,Christian,Edinburgh,Nurse
Albert Keller,M,1979,USA,Christian,New Orleans,Nurse
Esther Morgan,F,,Australia,Christian,Brisbane,Nurse
Apolonia Abler,F,1967,Canada,Christian,Vancouver,Nurse
Shelley Mendoza,F,1978,Scotland,Christian,Edinburgh,Nurse
Alexandre Ronaldo,M,1980,Portugal,Christian,Lisbon,X
Gabriel Paiva,M,,Portugal,Christian,Lisbon,X
Casey Barnes,M,1983,Scotland,Christian,Edinburgh,Nurse
Archie Hogan,M,1976,Scotland,Christian,Edinburgh,Nurse
Marlon Moore,M,1984,Australia,Christian,Brisbane,Nurse
Billie Duncan,F,1976,Scotland,Christian,Edinburgh,Nurse
Donnie Adkins,M,1963,Spain,Christian,Valencia,Nurse
Miriam Riley,F,1970,Portugal,Christian,Lisbon,X
Drew Wade,F,1962,Spain,Christian,Valencia,Nurse
Eloi Fuentes,F,1978,Spain,Christian,Valencia,Nurse
Michele Fletcher,F,1965,Scotland,Christian,Edinburgh,Nurse
Brad Ferguson,M,1985,USA,Christian,New Orleans,
Erica Hudson,F,1980,Brazil,Christian,São Paulo,Nurse
Hubert Chapman,M,1969,Scotland,Christian,Edinburgh,Nurse
Vivian Arnold,F,1960,Brazil,Christian,São Paulo,Nurse
Lorraine Richards,F,,Brazil,Christian,São Paulo,Nurse
Carlos Cobre,M,1983,Brazil,Christian,São Paulo,Nurse
Susie Hodges,F,,Brazil,Christian,São Paulo,Nurse
Pablo Alvarez,M,,Mexico,Christian,Acapulco,Nurse
David Pittman,M,1987,Australia,Christian,Brisbane,Nurse
Bernard Summers,M,,USA,Christian,New Orleans,Nurse
