e-mail,Name,Sex,Rate
eug_ewell@live.com,Eugenio Ewell,M,
,Ivo Izidro,M,5
multiplx@mac.com,Lindsey Lever,,3
bader@sbcglobal.net,Desiree Dardar,F,
nasarius@aol.com,Mariann Mulero,F,3
jusdisgi@outlook.com,Kathey Kleiman,F,4
rrollison@aol.com,Rupert Rollison,M,2
seymoress@aol.com,Signe Seymore,F,
loralemo@gmail.com,Lora Lemoine,F,4
,Leanne Lowy,F,4
duncand@comcast.net,Eleanore Espitia,F,5
danzigism@aol.com,Mayra Mcnish,F,3
kk@verizon.net,Kraig Kriner,M,4
cobree@aol.com,Carlos Cobre,M,
pakaste@me.com,Valeri Vanegas,F,4
mhouston@live.com,Vinicius Vitorio,,3
mbalazin@yahoo.ca,Magali Mattos,F,5
,Kathy Kerrigan,F,4
agapow@comcast.net,Ricardo Rima,M,
duncand@live.com,Apolonia Abler,F,4
temmink@icloud.com,Willene Wolfgram,F,1
magrom@sbcglobal.net,Marcos Magro,M,3
froodian@me.com,Ariel Almada,F,5
,Elias Elmo,M,4
,Herta Hatley,,
jaju@mac.com,Jada Judon,,5
tubajon@sbcglobal.net,Joelle Jaffee,F,2
njpayne@comcast.net,Lillian Labree,F,2
,Oleta Ouk,F,4
dfevre@optonline.net,Douglas Damario,M,1
