e-mail,Name,Sex,Rate
eug_ewell@live.com,Eugenio Ewell,M,4
iizi@yahoo.ca,Ivo Izidro,M,5
multiplx@mac.com,Lindsey Lever,M,3
bader@sbcglobal.net,Desiree Dardar,F,
nasarius@aol.com,Mariann Mulero,F,
jusdisgi@outlook.com,Kathey Kleiman,F,4
rrollison@aol.com,Rupert Rollison,M,
seymoress@aol.com,Signe Seymore,F,4
loralemo@gmail.com,Lora Lemoine,F,4
leanne99@comcast.net,Leanne Lowy,F,4
duncand@comcast.net,Eleanore Espitia,F,5
danzigism@aol.com,Mayra Mcnish,F,
kk@verizon.net,Kraig Kriner,M,4
cobree@aol.com,Carlos Cobre,M,
pakaste@me.com,Valeri Vanegas,F,4
mhouston@live.com,Vinicius Vitorio,M,3
mbalazin@yahoo.ca,Magali Mattos,F,5
kourai@mac.com,Kathy Kerrigan,F,4
agapow@comcast.net,Ricardo Rima,M,3
duncand@live.com,Apolonia Abler,F,4
temmink@icloud.com,Willene Wolfgram,F,
magrom@sbcglobal.net,Marcos Magro,M,4
froodian@me.com,Ariel Almada,F,5
joelw@live.com,Elias Elmo,M,4
fudrucker@gmail.com,Herta Hatley,F,4
jaju@mac.com,Jada Judon,M,5
tubajon@sbcglobal.net,Joelle Jaffee,F,
njpayne@comcast.net,Lillian Labree,F,
ouk@comcast.net,Oleta Ouk,F,4
dfevre@optonline.net,Douglas Damario,M,
